,QQQdate,QQQclose,QQQvolume,QQQprice/up day,QQQprice/mid day,QQQprice/low day,QQQprice/up week,QQQprice/mid week,QQQprice/low week,QQQprice/up month,QQQprice/mid month,QQQprice/low month,QQQprice/20high,QQQprice/20low,QQQgain,QQQ7 day up,QQQ7 day down,SOXXdate,SOXXclose,SOXXvolume,SOXXprice/up day,SOXXprice/mid day,SOXXprice/low day,SOXXprice/up week,SOXXprice/mid week,SOXXprice/low week,SOXXprice/up month,SOXXprice/mid month,SOXXprice/low month,SOXXprice/20high,SOXXprice/20low,SOXXgain,SOXX7 day up,SOXX7 day down,NVDAdate,NVDAclose,NVDAvolume,NVDAprice/up day,NVDAprice/mid day,NVDAprice/low day,NVDAprice/up week,NVDAprice/mid week,NVDAprice/low week,NVDAprice/up month,NVDAprice/mid month,NVDAprice/low month,NVDAprice/20high,NVDAprice/20low,NVDAgain,NVDA7 day up,NVDA7 day down,TSLAdate,TSLAclose,TSLAvolume,TSLAprice/up day,TSLAprice/mid day,TSLAprice/low day,TSLAprice/up week,TSLAprice/mid week,TSLAprice/low week,TSLAprice/up month,TSLAprice/mid month,TSLAprice/low month,TSLAprice/20high,TSLAprice/20low,TSLAgain,TSLA7 day up,TSLA7 day down,MSAdate,MSAclose,MSAvolume,MSAprice/up day,MSAprice/mid day,MSAprice/low day,MSAprice/up week,MSAprice/mid week,MSAprice/low week,MSAprice/up month,MSAprice/mid month,MSAprice/low month,MSAprice/20high,MSAprice/20low,MSAgain,MSA7 day up,MSA7 day down
2017-12-28,2017-12-28,156.73,25393825.0,0.9845114514183775,1.0056238711353918,1.0276616276062123,0.9765856345382706,1.0440592608382846,1.1215485732249812,0.9716325913124693,1.195923802111352,1.5548430384774994,0.9879601613716591,1.026324405736363,1.0853059401518534,0.0,0.0,2017-12-28,171.57,262989.0,0.9812749788846933,1.0092738840014484,1.0389175145221223,0.9245111890275115,1.043505233643723,1.1976557805202883,0.947074043122915,1.2898254371588809,2.0213708579985497,0.9849024110218141,1.0298937511255177,1.08812729498164,0.0,0.0,2017-12-28,48.44,6006248.0,0.9759714469727551,1.020778016605555,1.0698966661526963,0.8836295135800311,1.0418548629930742,1.2691045230829896,0.8873101579741303,1.6896888516813167,17.652799169930354,0.9831540491171097,1.061582292351523,1.2551610239471511,0.0,0.0,2017-12-28,21.02,4316347.0,0.9043214306946331,0.9769927957239133,1.062364519986602,0.83766473568783,0.9431507156638393,1.0790317102034197,0.8102072777441471,1.1557388316151198,2.0151429576330933,0.9179039301310044,1.0380246913580247,1.1084681255946718,0.0,0.0,2017-12-28,68.77,76639.0,0.9199793580404682,0.9750322553203544,1.0370934281852993,0.9081280341613394,1.0186035488935627,1.1596809587068293,0.8443526383834696,1.1686336485602378,1.8973134678928487,0.9026118913243207,1.0162553568789714,1.018467354951287,0.0,0.0
2017-12-29,2017-12-29,155.76,33185962.0,0.9783239122814023,0.9992045367067807,1.0209959210318291,0.9621265936363571,1.0304960949517201,1.109325683801544,0.9326918610291821,1.162331677940996,1.5419872609757732,0.9818456883509834,1.019972496889529,1.0830765279917822,0.0,0.0,2017-12-29,169.81,253535.0,0.9727810029282228,0.9997291823662409,1.028212948975666,0.9112641614968668,1.0221882449254773,1.1638596384580007,0.9067882525987258,1.2350446931843804,1.9358036947304302,0.9747990815154995,1.0193288912899934,1.0775572698898768,0.0,0.0,2017-12-29,47.46,6999116.0,0.9611772773251375,1.002037433888965,1.0465258015482017,0.8585914597655906,1.0061159810478784,1.2148541045994252,0.8019774321043217,1.5227644624121663,15.041466802028014,0.9773476112026359,1.0401051939513477,1.2593763168984409,0.0,0.0,2017-12-29,20.76,3777155.0,0.8934502527566935,0.9645271447487628,1.047890243508413,0.8302090081555081,0.9357885009804138,1.072134141386483,0.78136451603656,1.1146607962629866,1.943803028220056,0.9065502183406114,1.0251851851851852,1.1103082851637764,0.0,0.0,2017-12-29,67.71,113130.0,0.91982866823179,0.9658094056228326,1.016629035769483,0.9013595969579286,0.9953035080369544,1.1111084222725318,0.833157298587694,1.1220389258519694,1.7175761652178803,0.9161141929373562,1.0005911038865078,1.0163934426229508,0.0,0.0
2018-01-02,2018-01-02,158.49,32573272.0,0.9934771456078954,1.015414776658721,1.0383431232675062,0.9789897523460853,1.0485575634880466,1.1287687957479888,0.949039118223646,1.1827038240682362,1.5690136170521978,0.9990544629349472,1.0378495186955667,1.0688371506088712,0.0,0.0,2018-01-02,174.42,953387.0,0.9958645128402785,1.025743564108974,1.0574710028332421,0.9360031508643984,1.0499386000818662,1.1954560870375388,0.9314057300410443,1.2685736728415264,1.9883568720033074,1.0,1.0470016207455428,1.0576195390436878,0.0,0.0,2018-01-02,48.93,8890417.0,0.9894174991414134,1.0326161508510168,1.0797591829005226,0.8851850005547902,1.037278865416618,1.2524823290781686,0.8268174410633051,1.5699297333718352,15.507352941913837,1.0,1.0723208415516108,1.237277743715512,0.0,0.0,2018-01-02,21.37,4352241.0,0.9206812699212774,0.9907278627723689,1.0723106069286152,0.8546033961600775,0.9632851765872563,1.1036371195293422,0.8043236853420659,1.147413353378614,2.0009186277968496,0.9331877729257643,1.0553086419753086,1.1052877866167525,0.0,0.0,2018-01-02,69.06,145239.0,0.9469864308039182,0.988484852822248,1.0337870116395245,0.9193308782441967,1.0151478402751748,1.1332616695043725,0.8497687644434523,1.1444101051445432,1.7518211485740192,0.9439584472389284,1.020540860056155,0.9918911091804228,0.0,0.0
2018-01-03,2018-01-03,160.03,29383557.0,1.000562262894061,1.022882710131031,1.0462217242640064,0.9885023034131114,1.058746084200846,1.1397367050511114,0.958260647923087,1.1941958039348843,1.5842592538132576,1.0,1.047248216739742,1.049553208773355,0.0,0.0,2018-01-03,177.47,442461.0,1.0062144942940823,1.0403519622009962,1.0768871140022138,0.9523705950229607,1.068298379523729,1.216360461911203,0.9476927812772855,1.2907566203370353,2.02312632768276,1.0,1.064479366602687,1.0343156589846172,0.0,0.0,2018-01-03,52.21,22867591.0,1.0331786201407624,1.0943771943614737,1.1632822343730596,0.9445229691184467,1.106812376116935,1.3364419047858405,0.8822427671758667,1.6751692495267425,16.54688119961826,1.0,1.1442033749726057,1.1340739321968971,0.0,0.0,2018-01-03,21.15,4521527.0,0.9129356060338651,0.9787135585377138,1.0547062308580442,0.8458054201584294,0.9533683427618376,1.0922753897073274,0.7960433291990964,1.1356009557303548,1.9803195590970222,0.9235807860262009,1.0444444444444443,1.100709219858156,0.0,0.0,2018-01-03,68.74,85352.0,0.9502652695988616,0.9870267864194064,1.0267470412086506,0.9150710189763405,1.0104439985594484,1.1280105294197877,0.8458312317961614,1.139107307090007,1.7437038191858971,0.9495786710871666,1.0158120289640904,1.0120744835612452,0.0,0.0
2018-01-04,2018-01-04,160.31,24776125.0,1.0001771733098348,1.0222222222222208,1.0452609695715107,0.9902318581525708,1.0605985425122642,1.1417308703789517,0.9599372896866217,1.1962852548197296,1.587031187769814,1.0,1.0443648208469056,1.0268230303786414,0.0,0.0,2018-01-04,178.47,444990.0,1.0047843124040112,1.0426232955939583,1.0834237464193361,0.9577369701569155,1.0743179793407334,1.2232143553124042,0.9530327980760531,1.2980297178765465,2.0345261492170064,1.0,1.0675320014355785,1.0008404773911581,0.0,0.0,2018-01-04,52.49,14581720.0,1.0205560476447357,1.0928358768295476,1.1761343809643026,0.9495884054592467,1.1127481636157426,1.3436091856389345,0.8869741974537684,1.6841531106619176,16.63562141673937,1.0,1.1503396888012272,1.0948752143265383,0.0,0.0,2018-01-04,20.97,9946304.0,0.9075627206481233,0.9687702115864361,1.0388306210522285,0.8386070761570811,0.9452545696319495,1.0829794289438608,0.7892684923548487,1.1259362667454156,1.9634657756153453,0.9157205240174673,1.0106024096385542,1.0929899856938485,0.0,0.0,2018-01-04,68.8,123882.0,0.9560409061284377,0.9901845082179549,1.0268572110186682,0.9158697425890635,1.0113259688811471,1.1289951181856475,0.8465695191675284,1.1401015817252327,1.74522581844617,0.9504075148501173,1.0166986847938524,1.003779069767442,0.0,0.0
2018-01-05,2018-01-05,161.92,26992340.0,1.0056086210463242,1.0297241265278594,1.0550246787415773,0.9895162776606831,1.063328878717333,1.1490411809850858,0.9695779798269464,1.208299597407589,1.6029698080200128,1.0,1.0512920399948058,0.9765316205533597,0.0,0.0,2018-01-05,179.49,390220.0,1.0032156221238777,1.044849536194849,1.0900887243394692,0.9619532549964496,1.0700201794991788,1.2054407686629314,0.9584796152107962,1.3054482773668479,2.0461539671819384,1.0,1.0736332097140806,0.948297955317845,0.0,0.0,2018-01-05,52.94,14503103.0,1.0125017197596005,1.094751643988585,1.1915461250099915,0.9460274530769397,1.1049769883428475,1.32812589749416,0.8945782818289673,1.6985914589148774,16.778239622826867,1.0,1.1602016217400832,0.9918775972799395,0.0,0.0,2018-01-05,21.11,4591180.0,0.9139913798832674,0.9747200738774093,1.0440931732468812,0.846765379202024,0.9532625874915323,1.0904018139552876,0.7945378099003747,1.133453247067035,1.9765742738788719,0.9218340611353713,1.0173493975903614,1.0521080056845098,0.0,0.0,2018-01-05,68.76,127964.0,0.9616211856119309,0.9919859194552435,1.0243308104499491,0.91936108976496,1.0036710773115747,1.1050055894201642,0.8460773275866171,1.1394387319684158,1.744211152272655,0.9498549523414836,1.0161075809073445,0.9626236183827805,0.0,0.0
2018-01-08,2018-01-08,162.55,23159061.0,1.0046345860314858,1.0309343734639826,1.0586481529572445,0.9933662977627473,1.067466089646137,1.1535118822203911,0.9733504237948997,1.2130008618984907,1.609206659422265,1.0,1.050743374272786,0.9985235312211627,0.0,0.0,2018-01-08,180.9,540919.0,1.0027381239750877,1.0493891615328403,1.100592753635326,0.969509966175596,1.0784258202206332,1.2149102181242648,0.9660090388970585,1.3157033448975586,2.062227715545226,1.0,1.0820672329225984,0.9749585406301824,0.0,0.0,2018-01-08,54.59,22030422.0,1.0211964085837844,1.1201855005848194,1.240425433170158,0.9755126305906714,1.1394162031287505,1.3695200745033285,0.9224599245380304,1.7515320691757303,17.30117304514769,1.0,1.1963620425158887,1.016303352262319,0.0,0.0,2018-01-08,22.43,9859435.0,0.9687018665954414,1.031667548237242,1.1033878256001342,0.89971328543351,1.0128697222849394,1.1585842106592659,0.8442199467581907,1.204327632956589,2.100168686077835,0.9794759825327511,1.0804431599229287,0.9924208649130629,0.0,0.0,2018-01-08,69.42,231312.0,0.9798922611040305,1.0036578136972825,1.0286048027780528,0.928185672651011,1.0133049183677938,1.115612100313377,0.8541984886716545,1.1503757529558962,1.760953144135656,0.9795400028220685,1.0258607950347274,0.9203399596658024,0.0,0.0
2018-01-09,2018-01-09,162.56,24782448.0,1.000532817120151,1.0284344148470081,1.0579368231178596,0.9934274091929388,1.0675317596608798,1.1535828457320625,0.973410303857883,1.213075485144378,1.6093056570635704,1.0,1.0441261481148436,0.9855437992125985,0.0,0.0,2018-01-09,179.12,488311.0,0.9884765424025566,1.0357289480227374,1.0877257917626781,0.9599702882331275,1.067814443990712,1.202955877669532,0.9565038089952521,1.3027572312772286,2.041936033214267,0.9901603095632946,1.0714200263189377,0.9635439928539526,0.0,0.0,2018-01-09,54.57,12424995.0,1.0031695049249276,1.1110997994441447,1.2450543081389804,0.9751552344995958,1.1389987581010426,1.3690183269032172,0.9221219652324659,1.750890364808932,17.294834458210467,0.999633632533431,1.1959237343852729,1.031519149715961,0.0,0.0,2018-01-09,22.25,7146631.0,0.959404615562838,1.0204783635654824,1.0898564075236268,0.8924931164019438,1.004741476631293,1.1492866111087234,0.837445109913943,1.1946629439716498,2.0833149025961584,0.9716157205240176,1.0717726396917147,1.0337078651685394,0.0,0.0,2018-01-09,68.32,226192.0,0.96809371616201,0.9895497635480098,1.0119784364371245,0.9134780345075925,0.9972485166074282,1.0979345821580222,0.8406632201965921,1.1321473846434287,1.7330498243639874,0.9640186256526032,1.0096054381557558,0.9493559718969556,0.0,0.0
2018-01-10,2018-01-10,162.18,34004028.0,0.9948806957632658,1.0239961611193356,1.0548671469605297,0.9911051748456621,1.065036299100649,1.1508862322885451,0.9711348614645144,1.2102398018006595,1.6055437466939582,0.9976624015748031,1.0416854004753036,0.9461709211986681,0.0,0.0,2018-01-10,176.97,676821.0,0.9746208400139739,1.0209532820270237,1.0719107849317437,0.9484476435273368,1.054997332252324,1.1885166462213994,0.9450227728779017,1.28712007156728,2.0174264169156366,0.9782752902155887,1.058559636320134,0.9342826467762898,0.0,0.0,2018-01-10,55.01,14566626.0,0.9946582313850538,1.1118409750083371,1.2603221323072131,0.9830179485032575,1.1481825487106168,1.380056774105662,0.9295570699548827,1.7650078608784927,17.434283370829352,1.0,1.205566513258821,0.9720050899836393,0.0,0.0,2018-01-10,22.32,4309926.0,0.9608936592977897,1.0227741373779955,1.0931732749115561,0.8953009599142195,1.0079024610521554,1.1529023442672677,0.8400797686867061,1.1984214341324597,2.0898691517279215,0.9746724890829696,1.0751445086705202,0.9417562724014337,0.0,0.0,2018-01-10,69.04,255960.0,0.9784210987260861,1.0000869136947004,1.022733977570372,0.9231048522014665,1.0077581613960314,1.1095053213142545,0.8495226686529966,1.144078680266135,1.7513138154872616,0.9741780725271625,1.0202453081129008,0.9119351100811123,0.0,0.0
2018-01-11,2018-01-11,163.29,20473518.0,0.9975737224749653,1.0285368749586625,1.0614836945809,0.9978885435969178,1.072325670737113,1.1587631820840827,0.9777815484556699,1.2185229820941528,1.6165324848788778,1.0,1.0483436055469955,0.9559679098536347,0.0,0.0,2018-01-11,178.03,349118.0,0.978859174187119,1.0239229771582887,1.0733362262732749,0.9541285753357731,1.0613164664117154,1.1956355231214089,0.9506831906845954,1.2948295549591615,2.029510227741938,0.9841348811498065,1.0649001076683813,0.9554569454586306,0.0,0.0,2018-01-11,55.11,10150767.0,0.9828321652184026,1.1045859055560008,1.2607708262782364,0.9848049289586353,1.1502697738491563,1.3825655121062177,0.9312468664827047,1.768216382712484,17.46597630551546,1.0,1.2077580539119,1.036291054255126,0.0,0.0,2018-01-11,22.53,6645484.0,0.971403857146527,1.0328939828080226,1.102694864584157,0.903724490451047,1.017385414314743,1.1637495437429006,0.847983745004995,1.2096969046148887,2.109531899123211,0.9838427947598254,1.0852601156069364,0.9183311140701287,0.0,0.0,2018-01-11,70.58,304422.0,0.9971379422970867,1.02079039664461,1.0455922026847608,0.9436955456022523,1.0302371238605428,1.134253846731751,0.8684720445180837,1.169598395903589,1.7903784631675972,0.9959080005644136,1.0430028077434608,0.8998299801643524,0.0,0.0
